"dataset","method","setting","attempted_folds","successful_folds","failed_folds","accuracy","correct","status","first_error_message","method_group"
"tips_DvsN","DD.alpha","supervised",244,244,0,0.942622950819672,230,"OK",NA,"DD classifier"
"tips_MvsF","SVM.DD","supervised",244,244,0,0.64344262295082,157,"OK",NA,"DD features"
"tips_MvsF","SVM.poly","supervised",244,244,0,0.64344262295082,157,"OK",NA,"DD + polynomial features"
"uscrime_SvsN","SVM.orig","supervised",47,47,0,0.893617021276596,42,"OK",NA,"Original representation"
"vertebral_column","SVM.orig","supervised",310,310,0,0.851612903225806,264,"OK",NA,"Original representation"
"veteran_lung_cancer","SSL.orig","semi_supervised",137,137,0,0.554744525547445,76,"OK",NA,"Original representation"
"vowel_MvsF","LDA.orig","supervised",990,990,0,0.998989898989899,989,"OK",NA,"Original representation"
"wine_1vs2","LDA.orig","supervised",130,130,0,1,130,"OK",NA,"Original representation"
"wine_1vs2","DD.alpha","supervised",130,130,0,1,130,"OK",NA,"DD classifier"
"wine_1vs3","LDA.orig","supervised",107,107,0,1,107,"OK",NA,"Original representation"
"wine_1vs3","SVM.orig","supervised",107,107,0,1,107,"OK",NA,"Original representation"
"wine_1vs3","DD.alpha","supervised",107,107,0,1,107,"OK",NA,"DD classifier"
"wine_2vs3","LDA.orig","supervised",119,119,0,0.991596638655462,118,"OK",NA,"Original representation"
"wine_2vs3","DD.alpha","supervised",119,119,0,0.991596638655462,118,"OK",NA,"DD classifier"
